Categories,,,,,,,
WLP - World Leader or Politician ,"CML - Country, Administration,  or Law ","PPP - Party, Pol. Organization, Philosophy",CP - Celebrity or Prominent Indiv.,"PJN - Pundit, Journalist, or News Outlet",M - Misc,,
Theodore Herzl,WLP,Dr. Stepher Sizer,CP,"“Do you think, eh, Theodore Herzl was inspired, maybe, by the idea of, eh, Nazi Germany of having, you know, a country just for one race?”",http://www.charismanews.com/opinion/42991-muslim-journalist-compares-holy-land-to-nazi-germany,3/3/2014,
China,CML,Benigno Aquino,WLP,"The Philippine president amplified his call for international backing by drawing a comparison to the West’s failure to intervene to support Czechoslovakia against Germany’s demands for the Sudetenland in 1938. “At what point do you say, ‘Enough is enough?’ Well, the world has to say it. Remember that the Sudetenland was given in an attempt to appease Hitler to prevent World War II,” Aquino declared.",http://www.wsws.org/en/articles/2014/02/06/phil-f06.html,2/6/2014,Philippine President
Holly Rehder,WLP,Jeff Roorda,WLP,“I hope you don’t think I was comparing you to a 1939-era Nazi German just because you’re doing the same thing that they were.”,http://www.thegatewaypundit.com/2014/04/awful-dem-rep-compares-republican-lady-to-nazis-audio/,4/1/2014,Dem Rep/Rep Rep
Tony Kornheiser,CP,Arizona SB 1062,CML,The ESPN host disgustingly shrieked that “now if you have this with gay people. How are they supposed to be identified? Should they wear a yellow star because my people went through that at one point?”,http://newsbusters.org/blogs/jeffrey-meyer/2014/02/27/espn-s-tony-kornheiser-compares-ariz-bill-nazi-s-should-they-wear-yel,3/27/2014,ESPN personality/Arizona state bill
Republicans,PP,John Burton,WLP,"“They lie and they don’t care if people think they lie… Joseph Goebbels – it’s the big lie, you keep repeating it,” Burton said Monday before the Blake Hotel breakfast. He said Ryan told “a bold-faced lie and he doesn’t care that it was a lie. That was Goebbels, the big lie.”",http://www.washingtonpost.com/blogs/post-politics/wp/2012/09/03/california-dem-chair-john-burton-gop-big-lie-like-goebbels/,9/3/2012,CA Dem Chair
Stephen Harper,WLP,Elizabeth May,WLP,"Elizabeth May is standing by her comments over the weekend that condemn Prime Minister Stephen Harper's stance on climate change, comparing it to ""a grievance worse than Neville Chamberlain's appeasement of the Nazis.""",http://www.canada.com/ottawacitizen/news/story.html?id=098b787f-cc1e-4f52-a27c-0cb0b0856faa,5/1/2007,Canadian Green Party leader/Prime Minister
World Leaders,WLP,Al Gore,WLP,"However, despite a growing number of honorable exceptions, too many of the world's leaders are still best described in the words Winston Churchill applied to those who ignored Adolf Hitler's threat: ""They go on in strange paradox, decided only to be undecided, resolved to be irresolute, adamant for drift, solid for fluidity, all powerful to be impotent.""",http://www.nobelprize.org/nobel_prizes/peace/laureates/2007/gore-lecture_en.html,12/10/2007,Nobel Prize Acceptance Speech
India,CML,Thane Richard,JN ,"Is it extreme to compare electing the BJP (with Modi at its head) to electing the Nazi party with Hitler as its chancellor? Maybe, but it is eerily similar in many ways. ",http://qz.com/178362/india-crosses-the-moral-line-of-no-return-if-narendra-modi-becomes-prime-minister/,3/10/2014,Quartz Jounalist
Recep Erdogan,WLP,Hasan Oren,WLP,Remember that Adolf Hitler used the same methods when he rose to power…,http://www.prisonplanet.com/turkish-government-restricts-internet-access-erdogan-compared-to-hitler.html,2/6/2014,Turkish opposition leader/Turkish PM
Democrats,PPP,Allen West,WLP,"If Joseph Goebbels was around, he'd be very proud of the Democrat Party, because they have an incredible propaganda machine",http://www.huffingtonpost.com/2011/12/15/allen-west-joseph-goebbels-democrats-propaganda_n_1152365.html,12/16/2011,Republican Rep from Florida
Muslims,PPP,Newt Gingrich,WLP,"""Nazis don't have the right to put up a sign next to the holocaust museum in Washington,"" Gingrich insisted, speaking of the museum where just a year ago a guard was killed by a white supremacist trying to enter the building with a gun.",http://voices.washingtonpost.com/44/2010/08/newt-gingrich-compares-ground.html,8/16/2010,Former Republican Speaker of the House
Socialists,PPP,Newt Gingrich,WLP,The secular-socialist machine represents as great a threat to America as Nazi Germany or the Soviet Union once did,http://www.politico.com/news/stories/0510/37573.html,5/20/2010,Former Republican Speaker of the House
Barack Obama,WLP,Republican Women of Anne Arundel County,PPP,"Obama and Hitler have a great deal in common in my view. Obama and Hitler use the “blitzkrieg” method to overwhelm their enemies. FAST, CARPET BOMBING intent on destruction. Hitler’s blitzkrieg bombing destroyed many European cities – quickly and effectively. Obama is systematically destroying the American economy and with it AMERICA.",http://thinkprogress.org/politics/2009/06/23/47316/md-gop-obama-hitler/?mobile=nc,6/23/2009,
Barack Obama,WLP,Glen Beck,PJN,This is what Hitler did with the SS.,http://mediamatters.org/research/2009/10/13/beck-continues-long-history-of-invoking-nazis-b/155673,10/13/2009,Fox News Personality
Obamacare,CML,Glen Beck,PJN,You have three people in the White House that are in love with eugenics.,http://mediamatters.org/video/2009/08/06/beck-links-health-care-reform-to-nazis-suggests/152971,8/6/2009,Fox News Personality
TARP,CML,Glen Beck,PJN,"Beck says he's not ""comparing"" banks who took bailouts to ""people of Germany,"" while comparing TARP to ""exactly what happened to the lead-up with Hitler""",http://mediamatters.org/video/2009/04/21/beck-says-hes-not-comparing-banks-who-took-bail/149356,4/21/2009,Fox News Personality
Ukrainian Revolutionaries ,PP,Vladimir Putin,WLP,"""We've seen lots of people, you know, with those signs -- armbands with swastikas,"" Putin said Tuesday.",http://www.foxnews.com/world/2014/03/04/putin-plays-nazi-card-to-marginalize-ukraines-revolution/,3/4/2014,
NPR,JN,Rogwer Ailes,CP,"They are, of course, Nazis. They have a kind of Nazi attitude. They are the left wing of Nazism. These guys don't want any other point of view. They don't even feel guilty using tax dollars to spout their propaganda. They are basically Air America with government funding to keep them alive.",http://www.huffingtonpost.com/2010/11/18/roger-ailes-npr-run-by-nazis_n_785289.html,11/18/2010,Fox News Chairman
Barack Obama,WLP,Rush Limbaugh,PJN,Obama is asking citizens to rat each other out like Hitler did.,http://www.faithstreet.com/onfaith/2009/08/11/limbaughs-inciteful-rhetoric/5874,8/11/2009,
Barack Obama,WLP,Rush Limbaugh,PJN,"Adolf Hitler, like Barack Obama, also ruled by dictate.",http://www.rushlimbaugh.com/daily/2009/08/06/whose_swastikas_speaker_pelosi,8/6/2009,
Bloc Quebecois,PPP,Jean Lapierre,WLP,"That kind of language, where you say you want to make your opponents disappear, there's a little bit of a Nazi tone in that.",http://www.canada.com/nationalpost/news/editorialsletters/story.html?id=32f3fd13-98eb-4000-aba8-8b9e6c1f059a,5/11/2006,Canadian political party/ Liberal MP
Canada,CGL,Andrew Telegdi,WLP,Canada is acting like a Nazi-style regime... That's what Hitler used to do.,http://forums.canadiancontent.net/canadian-politics/42706-spectre-hitler-invoked-tories-liberals.html,1/16/2006,Canadian MP
Gilles Duceppe,WLP,Jean Lapierre,WLP,"That kind of language, where you say you want to make your opponents disappear, there's a little bit of a Nazi tone in that.",http://www.cbc.ca/news/canada/lapierre-s-nazi-analogy-inappropriate-jewish-groups-say-1.556264,12/5/2005,Canadian Liberal MP
Bill O'Reilly,PJN,Cenk Uygur,PJN,"“You wanna play name calling games, Bill? You’re a goddamn Nazi!”

“You’re gonna call us fascists all day long, and we’re not going to respond?” he continued. “Well, those days are over…Nazi!”",http://www.mediaite.com/tv/cenk-uygur-goes-off-on-bill-oreilly-calls-him-nazi/,4/18/2012,Host of The Young Turks
Liberals,PP,Bill O'Reilly,PJN,"In the past, right wing extremists like Hitler and Mussolini were in the forefront of state control. But... today's totalitarians are primarily on the left, certainly that's the case in the USA.",http://mediamatters.org/video/2010/03/02/oreilly-says-liberals-who-support-gun-control-a/161144,3/2/2010,Fox News Personality
Liberals,PP,Bill O'Reilly,PJN,"In order to accomplish this, the left-wing media is marginalizing people like Sarah Palin who oppose the strategy. Under the guise of hard news reporting, the media is pushing rank propaganda on the citizenry. Dr. Joseph Goebbels, the Nazi propaganda minister, successfully developed this tactic in the 1930's.",http://www.billoreilly.com/newslettercolumn;jsessionid=E9473915B9419119F03C03CBAE1A4023?pid=26893,7/16/2009,Fox News Personality
Huffington Post,PJN,Bill O'Reilly,PJN,"And I said that these tactics that are being used on this website, The Huffington Post, are the same exact tactics that the Nazis used in the late '20s and early '30s to demonize certain groups of people, so it would become easier for them, the Nazis, when they took power, to hurt those people.",http://mediamatters.org/research/2008/03/10/oreilly-again-attacked-huffington-post-as-using/142825,3/10/2008,Fox News Personality
Huffington Post,PJN,Bill O'Reilly,PJN,I don't see any difference between [Arianna] Huffington and the Nazis... I don't see any difference.,http://mediamatters.org/research/2008/02/28/on-koa-independence-institutes-caldara-repeated/142712,2/27/2008,Fox News Personality
Daily Kos,PJN,Bill O'Reilly,PJN, [The Daily Kos] is 'like the Ku Klux Klan. It's like the Nazi party. There's no difference here.',http://mediamatters.org/research/2007/07/18/oreilly-defends-comparison-of-daily-kos-to-nazi/139360,7/16/2007,Fox News Personality
Michelle Obama,CP,Mat Staver,PJN,This is reminiscent of going back to Hitler. ,http://www.dailykos.com/story/2014/03/30/1288432/-Liberty-Counsel-calls-Michelle-Obama-a-Nazi-but-condones-actual-acts-of-fascism,3/30/2014,Member of the Liberty Counsel
Michelle Obama,CP,Matt Barber,PJN,"This is evil. It's evil. And Michelle Obama, anybody who could say that, is an evil human being. Those are evil words, that's an evil sentiment, and I cannot believe that Michelle Obama would say that 'you're doing God's work' by dismembering alive innocent pre-born children.  It is Hitlerian.",http://www.dailykos.com/story/2014/03/30/1288432/-Liberty-Counsel-calls-Michelle-Obama-a-Nazi-but-condones-actual-acts-of-fascism,3/30/2014,Member of the Liberty Counsel
CNN,PJN,Ted Nugent,CP,CNN Joseph Goebbells Saul Alinsky propaganda ministry mongrels (sic),http://www.alternet.org/news-amp-politics/ted-nugent-loses-his-sht-twitter-calls-his-critics-nazi-propagandists,2/19/2014,Musician
Desmond Tutu,WLP,Misha Berkovich,PPP,Yes I called him a neo nazi (sic) because he hates Jews.,http://mondoweiss.net/2014/03/desmond-critcizing-israel.html,3/25/2014,a student member of the Ohio State University Hillel Center 
NRA,PPP,Mike Malloy,PJN,"But, you know, the NRA members are the current incarnation of the brownshirts from Germany back in the early '30s, late '20s, early '30s.",http://www.examiner.com/article/liberal-talker-mike-malloy-i-look-forward-to-the-day-nra-brownshirts-killed,4/2/2014,Liberal talk show host
Itamar Ben-Gvir,M,Amnon Dankner,PJN,dirty little Nazi,"http://www.ynetnews.com/articles/0,7340,L-3327020,00.html",12/11/2006,Right-wing activist/Writer
Mahmoud Ahmadinejad,WLP,Benhamin Netanyahu,WLP,Ahmadinejad is a modern Hitler,http://www.foreignaffairs.com/features/letters-from/letter-from-tel-aviv-netanyahu%C3%A2%E2%82%AC%E2%84%A2s-iranian-dilemma,6/10/2009,
Mahmoud Ahmadinejad,WLP,Benhamin Netanyahu,WLP,It's 1938 and Iran is Germany. And Iran is racing to arm itself with atomic bombs,http://www.haaretz.com/news/netanyahu-it-s-1938-and-iran-is-germany-ahmadinejad-is-preparing-another-holocaust-1.205137,11/14/2006,
Republicans,PPP,Julian Bond,,"Republicans appeal to the dark underside of American culture, to that minority of Americans who reject democracy and equality. They preach racial neutrality and practice racial division. … Their idea of reparations is to give war criminal Jefferson Davis a pardon. Their idea of equal rights is the American flag and Confederate swastika flying side by side.",http://www.heraldpalladium.com/bond-s-lecture-on-equality-was-a-joke/article_f3223db7-42ae-50fd-9742-99afafc8fc58.html,8/4/2003,
Homeland Security,CML,Harry Belafonte,CP,"We've come to this dark time in which the new Gestapo of Homeland Security lurks here, where citizens are having their rights suspended…",http://www.washingtonpost.com/wp-dyn/content/article/2006/01/21/AR2006012101032.html,1/22/2006,
Barack Obama,WLP,Branda Barton,WLP,Someone is paying the National Park Service thugs overtime for their efforts to carry out the order of De Fuhrer… where are our Constitutional Sheriffs who can revoke the Park Service Rangers authority to arrest??? Do we have any Sheriffs with a pair?,http://www.rawstory.com/rs/2013/10/08/arizona-lawmaker-obama-is-just-like-hitler-for-using-park-rangers-to-enforce-government-shutdown/,10/8/2013,AZ Republican State Rep.
Saddam Hussein,WLP,John Kerry,WLP,"[Saddam's forces] have committed outrageous acts of barbarism … [Americans] are held in direct contravention of international law. Many of them reportedly staked out as human shields near possible military targets, brutality that I don’t believe Adolf Hitler ever participated in",http://swampland.time.com/2013/09/05/going-hitler-the-importance-of-john-kerrys-nazi-reference/,9/5/2013,
George W Bush,WLP,Dave Lindorff,,It’s going a bit far to compare the Bush of 2003 to the Hitler of 1933. Bush is simply not the orator that Hitler was. Bur comparisons of the Bush administration’s fear-mongering tactics to those practiced so successfully and with such terrible results by Hitler and Goebbels on the German people and their Weimar Republic are not at all out of line.,http://www.aim.org/wls/comparing-george-bush-with-adolf-hitler-4/,2/1/2013,
George W Bush,WLP,Tell Rall,CP,"Lately we’re being told that it’s either (a) inappropriate or (b) untrue to refer to Bush’s illegitimate junta as Nazi, neo-Nazi, or neofascist. Because, you know, you’re not necessarily a Nazi just because you seize power like one…",http://www.aim.org/wls/comparing-george-bush-with-adolf-hitler-2/,1/6/2004,Political Cartoonist
George W Bush,WLP,David Clennon,,"I’m not comparing Bush to Adolf Hitler — because George Bush, for one thing, is not as smart as Adolf Hitler.",http://www.aim.org/wls/comparing-george-bush-with-adolf-hitler/,,
George W Bush,WLP,Al Gore,,The Bush administration works closely with a network of rapid response digital brownshirts who work to pressure reporters and their editors for 'undermining support for our troops'.,http://books.google.com/books?id=eDUXAJ01h9AC&pg=PA245&lpg=PA245&dq=%E2%80%9Crapid+response+digital+Brownshirts.%E2%80%9D&source=bl&ots=z8kwi_eYVx&sig=ogt6uFMOEieT9WsYZrddWtRiCrA&hl=en&sa=X&ei=lhc_U7zjNuOzsASex4GQDQ&ved=0CG4Q6AEwCQ#v=onepage&q=%E2%80%9Crapid%20response%20digital%20Brownshirts.%E2%80%9D&f=false,,
George W Bush,WLP,Keith Ellison,WLP,"It's almost like the Reichstag fire, kind of reminds me of that. After the Reichstag was burned, they blamed the Communists for it and it put the leader of that country [Hitler] in a position where he could basically have authority to do whatever he wanted. The fact is that I'm not saying [Sept. 11] was a [U.S.] plan, or anything like that because, you know, that's how they put you in the nut-ball box -- dismiss you.",http://newsbusters.org/node/14103,7/16/2007,MN Dem Rep.
Obama Administration,CML,Tom Zawistowski,CP,This is unbelievable.  This is Nazi Germany,http://talkingpointsmemo.com/livewire/fox-guest-compares-obama-irs-uproar-to-nazi-germany,5/16/2013,Conservative activist
Pope Benedict,WLP,Susan Sarandon,CP,Not this Nazi [pope] we have now…,http://abcnews.go.com/blogs/entertainment/2011/10/susan-sarandon-calls-pope-benedict-a-nazi/,10/18/2011,
Barack Obama,WLP,Hank Williams Jr.,CP,"[John Boehner playing golf with President Obama] would be like Hitler playing golf with Netanyahu, OK?",http://mediamatters.org/video/2011/10/03/on-fox-amp-friends-hank-williams-jr-compares-ob/181672,10/3/2011,
Liberals,PPP,Glen Beck,CP,"Progressives use 'democratic elections' to push dictators -- 'Hitler, democratically elected'",http://mediamatters.org/video/2010/04/28/beck-says-progressives-use-democratic-elections/163937,8/28/2010,
National Endowment for the Arts,PPP,Glen Beck,CP,Advocating through art is known as 'propaganda'. You should look up the name Goebbels.,http://mediamatters.org/video/2009/11/05/in-commentary-promoted-by-breitbart-beck-compar/156574,11/5/2009,
An Inconvenient Truth,M,Glen Beck,CP,"When you take a little bit of truth and then you mix it with untruth, or your theory, that's where you get people to believe. ... It's like Hitler. Hitler said a little bit of truth, and then he mixed in 'and it's the Jews' fault.' That's where things get a little troublesome, and that's exactly what's happening [in An Inconvenient Truth].""",http://mediamatters.org/video/2006/06/08/beck-on-an-inconvenient-truth-its-like-hitler/135903,6/8/2006,
Obamacare,CML,Ted Cruz,WLP,"You go to the 1940s, Nazi Germany… we saw in Britain… I suspect [those skeptical of defunding Obamacare], if it had been in the 1940s… they would have been saying 'we cannot defeat the Germans'.",https://www.youtube.com/watch?v=U8TL7x4CL7U,9/24/2013,Senator Ted Cruz compares those uncommitted to the cause of defunding Obamacare to Nazi appeasers.
Liberals,PP,Ben Carson,CP,"Think about Nazi Germany… If you believe the same thing can't happen again, you're very wrong. ",http://www.huffingtonpost.com/2014/02/10/ben-carson-nazi-germany_n_4761388.html,2/10/2014,Retired neurosuregon Ben Carson explaining why Progressives will turn America in the next Nazi Germany unless Conservatives prevent them from doing so.
